Frequency (Hz)	Level (dB)
351.260376	-34.790081
351.933289	-34.774120
352.606201	-34.757416
353.279114	-34.739910
353.952026	-34.721718
354.624939	-34.702881
355.297852	-34.683372
355.970764	-34.663242
356.643677	-34.642536
357.316589	-34.621304
357.989502	-34.599518
358.662415	-34.577271
359.335327	-34.554588
360.008240	-34.531448
360.681152	-34.507912
361.354065	-34.484035
362.026978	-34.459820
362.699890	-34.435303
363.372803	-34.410507
364.045715	-34.385433
364.718628	-34.360153
365.391541	-34.334686
366.064453	-34.309017
366.737366	-34.283226
367.410278	-34.257320
368.083191	-34.231300
368.756104	-34.205189
369.429016	-34.179066
370.101929	-34.152905
370.774841	-34.126690
371.447754	-34.100494
372.120667	-34.074322
372.793579	-34.048203
373.466492	-34.022182
374.139404	-33.996220
374.812317	-33.970333
375.485229	-33.944592
376.158142	-33.918972
376.831055	-33.893497
377.503967	-33.868198
378.176880	-33.843052
378.849792	-33.818119
379.522705	-33.793377
380.195618	-33.768841
380.868530	-33.744545
381.541443	-33.720470
382.214355	-33.696651
382.887268	-33.673103
383.560181	-33.649815
384.233093	-33.626804
384.906006	-33.604088
385.578918	-33.581661
386.251831	-33.559540
386.924744	-33.537716
387.597656	-33.516220
388.270569	-33.495064
388.943481	-33.474228
389.616394	-33.453751
390.289307	-33.433617
390.962219	-33.413822
391.635132	-33.394382
392.308044	-33.375298
392.980957	-33.356586
393.653870	-33.338253
394.326782	-33.320297
394.999695	-33.302723
395.672607	-33.285519
396.345520	-33.268711
397.018433	-33.252300
397.691345	-33.236290
398.364258	-33.220665
399.037170	-33.205410
399.710083	-33.190575
400.382996	-33.176155
401.055908	-33.162132
401.728821	-33.148510
402.401733	-33.135300
403.074646	-33.122513
403.747559	-33.110134
404.420471	-33.098183
405.093384	-33.086620
405.766296	-33.075478
406.439209	-33.064762
407.112122	-33.054443
407.785034	-33.044552
408.457947	-33.035080
409.130859	-33.026028
409.803772	-33.017372
410.476685	-33.009151
411.149597	-33.001350
411.822510	-32.993977
412.495422	-32.987034
413.168335	-32.980499
413.841248	-32.974380
414.514160	-32.968681
415.187073	-32.963398
415.859985	-32.958515
416.532898	-32.954052
417.205811	-32.950005
417.878723	-32.946384
418.551636	-32.943176
419.224548	-32.940372
419.897461	-32.937981
420.570374	-32.936001
421.243286	-32.934425
421.916199	-32.933250
422.589111	-32.932495
423.262024	-32.932156
423.934937	-32.932232
424.607849	-32.932697
425.280762	-32.933552
425.953674	-32.934807
426.626587	-32.936489
427.299500	-32.938564
427.972412	-32.941036
428.645325	-32.943901
429.318237	-32.947155
429.991150	-32.950798
430.664062	-32.954849
431.336975	-32.959293
432.009888	-32.964119
432.682800	-32.969322
433.355713	-32.974907
434.028625	-32.980873
434.701538	-32.987232
435.374451	-32.993973
436.047363	-33.001091
436.720276	-33.008572
437.393188	-33.016438
438.066101	-33.024677
438.739014	-33.033283
439.411926	-33.042255
440.084839	-33.051601
440.757751	-33.061298
441.430664	-33.071365
442.103577	-33.081799
442.776489	-33.092590
443.449402	-33.103729
444.122314	-33.115242
444.795227	-33.127102
445.468140	-33.139301
446.141052	-33.151848
446.813965	-33.164749
447.486877	-33.177998
448.159790	-33.191593
448.832703	-33.205524
449.505615	-33.219788
450.178528	-33.234390
450.851440	-33.249313
451.524353	-33.264568
452.197266	-33.280167
452.870178	-33.296089
453.543091	-33.312332
454.216003	-33.328892
454.888916	-33.345776
455.561829	-33.362972
456.234741	-33.380474
456.907654	-33.398300
457.580566	-33.416428
458.253479	-33.434864
458.926392	-33.453609
459.599304	-33.472645
460.272217	-33.491989
460.945129	-33.511620
461.618042	-33.531548
462.290955	-33.551765
462.963867	-33.572277
463.636780	-33.593079
464.309692	-33.614162
464.982605	-33.635509
465.655518	-33.657124
466.328430	-33.679020
467.001343	-33.701191
467.674255	-33.723621
468.347168	-33.746315
469.020081	-33.769279
469.692993	-33.792496
470.365906	-33.815952
471.038818	-33.839676
471.711731	-33.863655
472.384644	-33.887875
473.057556	-33.912327
473.730469	-33.937016
474.403381	-33.961937
475.076294	-33.987080
475.749207	-34.012455
476.422119	-34.038048
477.095032	-34.063858
477.767944	-34.089886
478.440857	-34.116135
479.113770	-34.142597
479.786682	-34.169247
480.459595	-34.196102
481.132507	-34.223152
481.805420	-34.250397
482.478333	-34.277809
483.151245	-34.305412
483.824158	-34.333199
484.497070	-34.361141
485.169983	-34.389259
485.842896	-34.417553
486.515808	-34.446014
487.188721	-34.474625
487.861633	-34.503372
488.534546	-34.532280
489.207458	-34.561317
489.880371	-34.590488
490.553284	-34.619789
491.226196	-34.649231
491.899109	-34.678787
492.572021	-34.708443
493.244934	-34.738224
493.917847	-34.768112
494.590759	-34.798092
495.263672	-34.828148
495.936584	-34.858292
496.609497	-34.888546
497.282410	-34.918873
497.955322	-34.949253
498.628235	-34.979717
499.301147	-35.010220
499.974060	-35.040760
500.646973	-35.071354
501.319885	-35.102016
501.992798	-35.132694
502.665710	-35.163395
503.338623	-35.194115
504.011536	-35.224834
504.684448	-35.255569
505.357361	-35.286297
506.030273	-35.317024
506.703186	-35.347755
507.376099	-35.378433
508.049011	-35.409115
508.721924	-35.439751
509.394836	-35.470325
510.067749	-35.500851
510.740662	-35.531315
511.413574	-35.561733
512.086487	-35.592091
512.759399	-35.622345
513.432312	-35.652519
514.105225	-35.682610
514.778137	-35.712566
515.451050	-35.742428
516.123962	-35.772190
516.796875	-35.801804
517.469788	-35.831284
518.142700	-35.860626
518.815613	-35.889816
519.488525	-35.918850
520.161438	-35.947720
520.834351	-35.976402
521.507263	-36.004936
522.180176	-36.033237
522.853088	-36.061363
523.526001	-36.089294
524.198914	-36.116982
524.871826	-36.144447
525.544739	-36.171696
526.217651	-36.198700
526.890564	-36.225487
527.563477	-36.251984
528.236389	-36.278214
528.909302	-36.304199
529.582214	-36.329865
530.255127	-36.355293
530.928040	-36.380432
531.600952	-36.405228
532.273865	-36.429737
532.946777	-36.453930
533.619690	-36.477783
534.292603	-36.501320
534.965515	-36.524525
535.638428	-36.547367
536.311340	-36.569885
536.984253	-36.592018
537.657166	-36.613811
538.330078	-36.635204
539.002991	-36.656216
539.675903	-36.676853
540.348816	-36.697083
541.021729	-36.716957
541.694641	-36.736408
542.367554	-36.755447
543.040466	-36.774082
543.713379	-36.792286
544.386292	-36.810066
545.059204	-36.827404
545.732117	-36.844322
546.405029	-36.860817
547.077942	-36.876862
547.750854	-36.892452
548.423767	-36.907570
549.096680	-36.922279
549.769592	-36.936493
550.442505	-36.950272
551.115417	-36.963577
551.788330	-36.976418
552.461243	-36.988819
553.134155	-37.000710
553.807068	-37.012127
554.479980	-37.023075
555.152893	-37.033566
555.825806	-37.043587
556.498718	-37.053108
557.171631	-37.062149
557.844543	-37.070744
558.517456	-37.078838
559.190369	-37.086445
559.863281	-37.093597
560.536194	-37.100239
561.209106	-37.106449
561.882019	-37.112156
562.554932	-37.117382
563.227844	-37.122162
563.900757	-37.126465
564.573669	-37.130295
565.246582	-37.133682
565.919495	-37.136551
566.592407	-37.139011
567.265320	-37.140972
567.938232	-37.142509
568.611145	-37.143600
569.284058	-37.144253
569.956970	-37.144459
570.629883	-37.144196
571.302795	-37.143543
571.975708	-37.142410
572.648621	-37.140903
573.321533	-37.138939
573.994446	-37.136570
574.667358	-37.133766
575.340271	-37.130604
576.013184	-37.127037
576.686096	-37.123055
577.359009	-37.118698
578.031921	-37.113968
578.704834	-37.108837
579.377747	-37.103363
580.050659	-37.097515
580.723572	-37.091278
581.396484	-37.084724
582.069397	-37.077835
582.742310	-37.070572
583.415222	-37.063015
584.088135	-37.055115
584.761047	-37.046894
585.433960	-37.038380
586.106873	-37.029575
586.779785	-37.020432
587.452698	-37.010986
588.125610	-37.001282
588.798523	-36.991310
589.471436	-36.981071
590.144348	-36.970562
590.817261	-36.959812
591.490173	-36.948792
592.163086	-36.937511
592.835999	-36.926041
593.508911	-36.914341
594.181824	-36.902386
594.854736	-36.890244
595.527649	-36.877892
596.200562	-36.865322
596.873474	-36.852558
597.546387	-36.839611
598.219299	-36.826534
598.892212	-36.813232
599.565125	-36.799778
600.238037	-36.786179
600.910950	-36.772396
601.583862	-36.758480
602.256775	-36.744427
