Frequency (Hz)	Level (dB)
260.417175	-87.370804
261.090088	-87.336967
261.763000	-87.305801
262.435913	-87.280243
263.108826	-87.232925
263.781738	-87.201149
264.454651	-87.163422
265.127563	-87.122581
265.800476	-87.078018
266.473389	-87.039940
267.146301	-86.999672
267.819214	-86.949768
268.492126	-86.903214
269.165039	-86.855736
269.837952	-86.804192
270.510864	-86.763985
271.183777	-86.707619
271.856689	-86.651306
272.529602	-86.599052
273.202515	-86.545036
273.875427	-86.503426
274.548340	-86.452545
275.221252	-86.398193
275.894165	-86.336533
276.567078	-86.280312
277.239990	-86.227562
277.912903	-86.172333
278.585815	-86.113968
279.258728	-86.061813
279.931641	-86.004112
280.604553	-85.949707
281.277466	-85.895699
281.950378	-85.838875
282.623291	-85.785713
283.296204	-85.727295
283.969116	-85.675110
284.642029	-85.619873
285.314941	-85.564377
285.987854	-85.505943
286.660767	-85.455421
287.333679	-85.408821
288.006592	-85.355400
288.679504	-85.301048
289.352417	-85.249840
290.025330	-85.196800
290.698242	-85.145927
291.371155	-85.097038
292.044067	-85.050987
292.716980	-84.998924
293.389893	-84.948524
294.062805	-84.901672
294.735718	-84.851501
295.408630	-84.807724
296.081543	-84.761795
296.754456	-84.716423
297.427368	-84.673546
298.100281	-84.631065
298.773193	-84.585457
299.446106	-84.544434
300.119019	-84.502960
300.791931	-84.456444
301.464844	-84.414574
302.137756	-84.380417
302.810669	-84.341888
303.483582	-84.302406
304.156494	-84.264854
304.829407	-84.226784
305.502319	-84.192650
306.175232	-84.159691
306.848145	-84.124695
307.521057	-84.090210
308.193970	-84.058571
308.866882	-84.027245
309.539795	-83.997002
310.212708	-83.965034
310.885620	-83.934296
311.558533	-83.908241
312.231445	-83.881088
312.904358	-83.850685
313.577271	-83.820335
314.250183	-83.792381
314.923096	-83.767006
315.596008	-83.744347
316.268921	-83.723114
316.941833	-83.700562
317.614746	-83.677902
318.287659	-83.656059
318.960571	-83.633286
319.633484	-83.615234
320.306396	-83.597870
320.979309	-83.576820
321.652222	-83.557732
322.325134	-83.541588
322.998047	-83.526123
323.670959	-83.511948
324.343872	-83.498970
325.016785	-83.488335
325.689697	-83.476479
326.362610	-83.459373
327.035522	-83.445862
327.708435	-83.436859
328.381348	-83.426140
329.054260	-83.417732
329.727173	-83.410942
330.400085	-83.401100
331.072998	-83.390984
331.745911	-83.386055
332.418823	-83.382584
333.091736	-83.375946
333.764648	-83.368538
334.437561	-83.363426
335.110474	-83.361557
335.783386	-83.359413
336.456299	-83.358650
337.129211	-83.357689
337.802124	-83.353783
338.475037	-83.351479
339.147949	-83.351173
339.820862	-83.352394
340.493774	-83.355827
341.166687	-83.358116
341.839600	-83.358383
342.512512	-83.363060
343.185425	-83.370529
343.858337	-83.376808
344.531250	-83.382622
345.204163	-83.386826
345.877075	-83.391861
346.549988	-83.397690
347.222900	-83.402069
347.895813	-83.409401
348.568726	-83.420326
349.241638	-83.434601
349.914551	-83.449097
350.587463	-83.454987
351.260376	-83.460251
351.933289	-83.471176
352.606201	-83.484230
353.279114	-83.501083
353.952026	-83.516518
354.624939	-83.527672
355.297852	-83.540115
355.970764	-83.554626
356.643677	-83.568863
357.316589	-83.583939
357.989502	-83.601974
358.662415	-83.618927
359.335327	-83.632721
360.008240	-83.648857
360.681152	-83.666489
361.354065	-83.685097
362.026978	-83.704453
362.699890	-83.719666
363.372803	-83.737335
364.045715	-83.756554
364.718628	-83.779190
365.391541	-83.801773
366.064453	-83.820946
366.737366	-83.840561
367.410278	-83.862152
368.083191	-83.883186
368.756104	-83.903923
369.429016	-83.926102
370.101929	-83.950500
370.774841	-83.974174
371.447754	-83.996223
372.120667	-84.017960
372.793579	-84.040115
373.466492	-84.064735
374.139404	-84.092064
374.812317	-84.118782
375.485229	-84.140816
376.158142	-84.164436
376.831055	-84.189590
377.503967	-84.215279
378.176880	-84.239075
378.849792	-84.264801
379.522705	-84.290924
380.195618	-84.313278
380.868530	-84.336487
381.541443	-84.361107
382.214355	-84.386787
382.887268	-84.414940
383.560181	-84.439400
384.233093	-84.467758
384.906006	-84.493134
385.578918	-84.514992
386.251831	-84.537888
386.924744	-84.564018
387.597656	-84.593315
388.270569	-84.618515
388.943481	-84.639580
389.616394	-84.665161
390.289307	-84.693230
390.962219	-84.718361
391.635132	-84.742096
392.308044	-84.763885
392.980957	-84.787338
393.653870	-84.808121
394.326782	-84.829781
394.999695	-84.859276
395.672607	-84.885361
396.345520	-84.907127
397.018433	-84.924088
397.691345	-84.941353
398.364258	-84.963951
399.037170	-84.981522
399.710083	-85.006691
400.382996	-85.021729
401.055908	-85.038910
401.728821	-85.061302
402.401733	-85.078957
403.074646	-85.096748
403.747559	-85.113815
404.420471	-85.135025
405.093384	-85.151680
405.766296	-85.161537
406.439209	-85.180260
407.112122	-85.193733
407.785034	-85.213043
408.457947	-85.223213
409.130859	-85.228195
409.803772	-85.239388
410.476685	-85.253830
411.149597	-85.268753
411.822510	-85.279968
412.495422	-85.288811
413.168335	-85.298225
413.841248	-85.304611
414.514160	-85.311722
415.187073	-85.312881
415.859985	-85.320717
416.532898	-85.324173
417.205811	-85.329536
417.878723	-85.328972
418.551636	-85.334793
419.224548	-85.335274
419.897461	-85.338249
420.570374	-85.336884
421.243286	-85.340340
421.916199	-85.340691
422.589111	-85.325630
423.262024	-85.326408
423.934937	-85.328812
424.607849	-85.317085
425.280762	-85.312195
425.953674	-85.305885
426.626587	-85.296532
427.299500	-85.290512
427.972412	-85.280327
428.645325	-85.276672
429.318237	-85.260178
429.991150	-85.250351
430.664062	-85.239899
431.336975	-85.226013
432.009888	-85.207893
432.682800	-85.197517
433.355713	-85.178749
434.028625	-85.159317
434.701538	-85.154739
435.374451	-85.133530
436.047363	-85.114304
436.720276	-85.090454
437.393188	-85.075462
438.066101	-85.059708
438.739014	-85.036934
439.411926	-85.014374
440.084839	-84.993484
440.757751	-84.967308
441.430664	-84.945297
442.103577	-84.921997
442.776489	-84.894768
443.449402	-84.868729
444.122314	-84.852722
444.795227	-84.824196
445.468140	-84.795753
446.141052	-84.775352
446.813965	-84.743073
447.486877	-84.718018
448.159790	-84.698341
448.832703	-84.665802
449.505615	-84.634392
450.178528	-84.603813
450.851440	-84.576027
451.524353	-84.546967
452.197266	-84.515984
452.870178	-84.489655
453.543091	-84.456406
454.216003	-84.427185
454.888916	-84.400513
455.561829	-84.363632
456.234741	-84.330429
456.907654	-84.302612
457.580566	-84.272209
458.253479	-84.237686
458.926392	-84.204689
459.599304	-84.175270
460.272217	-84.140648
460.945129	-84.104179
461.618042	-84.070587
462.290955	-84.041023
462.963867	-84.007225
463.636780	-83.975685
464.309692	-83.945190
464.982605	-83.905319
465.655518	-83.873451
466.328430	-83.841530
467.001343	-83.807549
467.674255	-83.776260
468.347168	-83.744995
469.020081	-83.712608
469.692993	-83.678139
470.365906	-83.646118
471.038818	-83.613716
471.711731	-83.582504
472.384644	-83.544662
473.057556	-83.512276
473.730469	-83.478790
474.403381	-83.445526
475.076294	-83.412842
475.749207	-83.381981
476.422119	-83.350067
477.095032	-83.321037
477.767944	-83.283470
478.440857	-83.251228
479.113770	-83.222672
479.786682	-83.192245
480.459595	-83.157295
481.132507	-83.124649
481.805420	-83.091789
482.478333	-83.060768
483.151245	-83.031448
483.824158	-83.000793
484.497070	-82.971710
485.169983	-82.937004
485.842896	-82.906494
486.515808	-82.879501
487.188721	-82.848587
487.861633	-82.818619
488.534546	-82.791824
489.207458	-82.762901
489.880371	-82.734474
490.553284	-82.703812
491.226196	-82.675972
491.899109	-82.648643
492.572021	-82.619728
493.244934	-82.589920
493.917847	-82.559929
494.590759	-82.535309
495.263672	-82.511116
495.936584	-82.480614
496.609497	-82.453018
497.282410	-82.425369
497.955322	-82.399109
498.628235	-82.376175
499.301147	-82.351067
499.974060	-82.323349
500.646973	-82.296974
501.319885	-82.273621
501.992798	-82.249168
502.665710	-82.226067
503.338623	-82.204865
504.011536	-82.178535
504.684448	-82.152779
505.357361	-82.128586
506.030273	-82.104485
506.703186	-82.082024
507.376099	-82.061661
508.049011	-82.040451
508.721924	-82.018059
509.394836	-81.995819
510.067749	-81.972336
510.740662	-81.951469
511.413574	-81.931297
512.086487	-81.912170
512.759399	-81.892761
513.432312	-81.869713
514.105225	-81.848244
514.778137	-81.830734
515.451050	-81.812408
516.123962	-81.793404
516.796875	-81.773796
517.469788	-81.756165
518.142700	-81.737900
518.815613	-81.721336
519.488525	-81.706329
520.161438	-81.688309
520.834351	-81.668137
521.507263	-81.648033
522.180176	-81.630760
522.853088	-81.615273
523.526001	-81.600281
524.198914	-81.585411
524.871826	-81.570351
525.544739	-81.552177
526.217651	-81.537178
526.890564	-81.524239
527.563477	-81.511009
528.236389	-81.499329
528.909302	-81.484695
529.582214	-81.470009
530.255127	-81.458923
530.928040	-81.446068
531.600952	-81.433365
532.273865	-81.421646
532.946777	-81.408752
533.619690	-81.395714
534.292603	-81.382698
534.965515	-81.370758
535.638428	-81.361252
536.311340	-81.351616
536.984253	-81.339195
537.657166	-81.327400
538.330078	-81.318230
539.002991	-81.309334
539.675903	-81.298981
540.348816	-81.287796
541.021729	-81.277824
541.694641	-81.269852
542.367554	-81.263489
543.040466	-81.255386
543.713379	-81.245522
544.386292	-81.238213
545.059204	-81.232796
545.732117	-81.227196
546.405029	-81.219963
547.077942	-81.211937
547.750854	-81.206116
548.423767	-81.200783
549.096680	-81.193130
549.769592	-81.186165
550.442505	-81.183128
551.115417	-81.180740
551.788330	-81.174957
552.461243	-81.167580
553.134155	-81.163071
553.807068	-81.160141
554.479980	-81.155716
555.152893	-81.151527
555.825806	-81.146736
556.498718	-81.141434
557.171631	-81.138206
557.844543	-81.137482
558.517456	-81.137039
559.190369	-81.135368
559.863281	-81.133675
560.536194	-81.131783
561.209106	-81.129868
561.882019	-81.128761
562.554932	-81.128380
563.227844	-81.126343
563.900757	-81.123970
564.573669	-81.124130
565.246582	-81.124229
565.919495	-81.123421
566.592407	-81.123276
567.265320	-81.123596
567.938232	-81.124634
568.611145	-81.127312
569.284058	-81.130882
569.956970	-81.134209
570.629883	-81.134460
571.302795	-81.133171
571.975708	-81.134789
572.648621	-81.136749
573.321533	-81.138367
573.994446	-81.142448
574.667358	-81.145538
575.340271	-81.148582
576.013184	-81.153481
576.686096	-81.156258
577.359009	-81.159142
578.031921	-81.164207
578.704834	-81.167953
579.377747	-81.171455
580.050659	-81.176895
580.723572	-81.181755
581.396484	-81.185852
582.069397	-81.191841
582.742310	-81.198524
583.415222	-81.202896
584.088135	-81.208862
584.761047	-81.214645
585.433960	-81.219078
586.106873	-81.226372
586.779785	-81.235687
587.452698	-81.240753
588.125610	-81.243446
588.798523	-81.252106
589.471436	-81.261017
590.144348	-81.269119
590.817261	-81.276924
591.490173	-81.284645
592.163086	-81.292961
592.835999	-81.300713
593.508911	-81.307526
594.181824	-81.317238
594.854736	-81.328560
595.527649	-81.336029
596.200562	-81.343262
596.873474	-81.353485
597.546387	-81.363922
598.219299	-81.373215
598.892212	-81.381088
599.565125	-81.389107
600.238037	-81.398148
600.910950	-81.412163
601.583862	-81.423531
602.256775	-81.432198
602.929688	-81.443176
603.602600	-81.455215
604.275513	-81.466599
604.948425	-81.477417
605.621338	-81.485245
606.294250	-81.494286
606.967163	-81.509201
607.640076	-81.523552
608.312988	-81.536667
608.985901	-81.545998
609.658813	-81.556168
610.331726	-81.571335
611.004639	-81.581345
611.677551	-81.594269
612.350464	-81.608833
613.023376	-81.619019
613.696289	-81.628822
614.369202	-81.643387
615.042114	-81.660362
615.715027	-81.674072
616.387939	-81.685143
617.060852	-81.696510
617.733765	-81.710838
618.406677	-81.723549
619.079590	-81.735329
619.752502	-81.748360
620.425415	-81.762329
621.098328	-81.777023
621.771240	-81.790802
622.444153	-81.805298
623.117065	-81.818581
623.789978	-81.835152
624.462891	-81.850822
625.135803	-81.866875
625.808716	-81.875656
626.481628	-81.887131
627.154541	-81.904037
627.827454	-81.921730
628.500366	-81.937492
629.173279	-81.950493
629.846191	-81.965683
630.519104	-81.980103
631.192017	-81.995377
631.864929	-82.008484
632.537842	-82.021133
633.210754	-82.036430
633.883667	-82.056000
634.556580	-82.068413
635.229492	-82.083321
635.902405	-82.100273
636.575317	-82.117203
637.248230	-82.131561
637.921143	-82.144196
638.594055	-82.159752
639.266968	-82.178352
639.939880	-82.191071
640.612793	-82.204742
641.285706	-82.225769
641.958618	-82.239471
642.631531	-82.251198
643.304443	-82.265427
643.977356	-82.278938
644.650269	-82.293449
645.323181	-82.311218
645.996094	-82.327972
646.669006	-82.341240
647.341919	-82.351875
648.014832	-82.365509
648.687744	-82.383934
649.360657	-82.402702
650.033569	-82.415581
650.706482	-82.427872
651.379395	-82.443161
652.052307	-82.459755
652.725220	-82.474960
653.398132	-82.488113
654.071045	-82.502472
654.743958	-82.514824
655.416870	-82.530029
656.089783	-82.550690
656.762695	-82.560944
657.435608	-82.574425
658.108521	-82.591240
658.781433	-82.604240
659.454346	-82.612358
660.127258	-82.628929
660.800171	-82.642395
661.473083	-82.656494
662.145996	-82.670700
662.818909	-82.681305
663.491821	-82.697433
664.164734	-82.705513
664.837646	-82.719170
665.510559	-82.734215
666.183472	-82.747818
666.856384	-82.758240
667.529297	-82.769073
668.202209	-82.778122
668.875122	-82.788963
669.548035	-82.802673
670.220947	-82.815552
670.893860	-82.826920
671.566772	-82.842064
672.239685	-82.854858
672.912598	-82.863312
673.585510	-82.869858
674.258423	-82.879784
674.931335	-82.893051
675.604248	-82.897896
676.277161	-82.914314
676.950073	-82.923584
677.622986	-82.928131
678.295898	-82.938377
678.968811	-82.950294
679.641724	-82.959679
680.314636	-82.970337
680.987549	-82.976089
681.660461	-82.981499
682.333374	-82.988647
683.006287	-83.001877
683.679199	-83.006477
684.352112	-83.015953
685.025024	-83.018478
685.697937	-83.025536
686.370850	-83.032692
687.043762	-83.041801
687.716675	-83.048706
688.389587	-83.055244
689.062500	-83.052216
689.735413	-83.059013
690.408325	-83.067429
691.081238	-83.069160
691.754150	-83.073631
692.427063	-83.083229
693.099976	-83.090492
693.772888	-83.085350
694.445801	-83.087875
695.118713	-83.091042
695.791626	-83.099686
696.464539	-83.099258
697.137451	-83.098709
697.810364	-83.103386
698.483276	-83.102470
699.156189	-83.107460
699.829102	-83.106956
700.502014	-83.109749
701.174927	-83.106705
701.847839	-83.109879
702.520752	-83.105827
703.193665	-83.105751
703.866577	-83.101822
704.539490	-83.105118
705.212402	-83.105194
705.885315	-83.097908
706.558228	-83.102348
707.231140	-83.095467
707.904053	-83.100998
708.576965	-83.098412
709.249878	-83.091660
709.922791	-83.085793
710.595703	-83.084053
711.268616	-83.078339
711.941528	-83.077080
712.614441	-83.072792
713.287354	-83.068748
713.960266	-83.061302
714.633179	-83.055611
715.306091	-83.053261
715.979004	-83.042786
716.651917	-83.038986
717.324829	-83.029053
717.997742	-83.028801
718.670654	-83.016792
719.343567	-83.010101
720.016479	-83.003510
720.689392	-82.997162
721.362305	-82.989349
722.035217	-82.975037
722.708130	-82.971352
723.381042	-82.963272
724.053955	-82.950264
724.726868	-82.940468
725.399780	-82.933784
726.072693	-82.927605
726.745605	-82.916199
727.418518	-82.902023
728.091431	-82.889549
728.764343	-82.882591
729.437256	-82.872528
730.110168	-82.861183
730.783081	-82.850426
731.455994	-82.833588
732.128906	-82.818726
732.801819	-82.810158
733.474731	-82.801254
734.147644	-82.783569
734.820557	-82.775337
735.493469	-82.759972
736.166382	-82.739838
736.839294	-82.732208
737.512207	-82.716309
738.185120	-82.702133
738.858032	-82.690292
739.530945	-82.675354
740.203857	-82.664375
740.876770	-82.648331
741.549683	-82.630714
742.222595	-82.616730
742.895508	-82.604073
743.568420	-82.585052
744.241333	-82.570679
744.914246	-82.555634
745.587158	-82.541718
746.260071	-82.523422
746.932983	-82.507706
747.605896	-82.493713
748.278809	-82.474152
748.951721	-82.457039
749.624634	-82.439720
750.297546	-82.424782
750.970459	-82.405006
751.643372	-82.390373
752.316284	-82.372803
752.989197	-82.354218
753.662109	-82.338470
754.335022	-82.321335
755.007935	-82.302086
755.680847	-82.278778
756.353760	-82.264481
757.026672	-82.247108
757.699585	-82.231712
758.372498	-82.210686
759.045410	-82.192574
759.718323	-82.172050
760.391235	-82.154350
761.064148	-82.137772
761.737061	-82.116768
762.409973	-82.100937
763.082886	-82.077858
763.755798	-82.061577
764.428711	-82.040825
765.101624	-82.022156
765.774536	-82.004051
766.447449	-81.984352
767.120361	-81.963768
767.793274	-81.942543
768.466187	-81.926643
769.139099	-81.905197
769.812012	-81.885529
770.484924	-81.866966
771.157837	-81.850487
771.830750	-81.829788
772.503662	-81.809669
773.176575	-81.789276
773.849487	-81.771545
774.522400	-81.750259
775.195312	-81.729675
775.868225	-81.709305
776.541138	-81.690300
777.214050	-81.671547
777.886963	-81.650314
778.559875	-81.634712
779.232788	-81.612480
779.905701	-81.591766
780.578613	-81.569679
781.251526	-81.549843
781.924438	-81.525795
782.597351	-81.508881
783.270264	-81.493637
783.943176	-81.470802
784.616089	-81.450089
785.289001	-81.432899
785.961914	-81.411232
786.634827	-81.391479
787.307739	-81.372108
787.980652	-81.352448
788.653564	-81.333099
789.326477	-81.314911
789.999390	-81.292412
790.672302	-81.273232
791.345215	-81.253136
792.018127	-81.235115
792.691040	-81.215286
793.363953	-81.195633
794.036865	-81.177483
794.709778	-81.156105
795.382690	-81.134575
796.055603	-81.116661
796.728516	-81.096748
797.401428	-81.079010
798.074341	-81.060722
798.747253	-81.039482
799.420166	-81.021255
800.093079	-81.002960
800.765991	-80.984383
801.438904	-80.964928
802.111816	-80.943382
802.784729	-80.924728
803.457642	-80.908501
804.130554	-80.886986
804.803467	-80.868439
805.476379	-80.852570
806.149292	-80.835854
806.822205	-80.814194
807.495117	-80.795662
