Frequency (Hz)	Level (dB)
368.756104	-32.904720
369.429016	-32.786972
370.101929	-32.915211
370.774841	-33.155098
371.447754	-33.104149
372.120667	-32.898716
372.793579	-32.922352
373.466492	-33.080318
374.139404	-33.050449
374.812317	-33.137119
375.485229	-33.251556
376.158142	-33.261105
376.831055	-33.226250
377.503967	-33.201958
378.176880	-33.190132
378.849792	-33.281384
379.522705	-33.487564
380.195618	-33.234398
380.868530	-33.289665
381.541443	-33.597012
382.214355	-33.432327
382.887268	-33.111557
383.560181	-33.378929
384.233093	-33.593910
384.906006	-33.592319
385.578918	-33.777039
386.251831	-33.483948
386.924744	-33.590714
387.597656	-33.692841
388.270569	-33.607574
388.943481	-33.524918
389.616394	-33.899780
390.289307	-33.957279
390.962219	-33.674648
391.635132	-33.907860
392.308044	-34.153534
392.980957	-33.813103
393.653870	-33.637539
394.326782	-33.814491
394.999695	-34.086418
395.672607	-34.299793
396.345520	-34.332390
397.018433	-33.997131
397.691345	-34.289745
398.364258	-34.318531
399.037170	-34.167946
399.710083	-34.364986
400.382996	-34.440353
401.055908	-34.339954
401.728821	-34.500370
402.401733	-34.581242
403.074646	-34.390385
403.747559	-34.564850
404.420471	-34.661728
405.093384	-34.402447
405.766296	-34.731548
406.439209	-34.723808
407.112122	-34.510609
407.785034	-34.444336
408.457947	-34.996437
409.130859	-34.759739
409.803772	-34.844604
410.476685	-34.924397
411.149597	-34.504387
411.822510	-34.723705
412.495422	-35.331398
413.168335	-34.985722
413.841248	-35.029076
414.514160	-35.270874
415.187073	-35.104862
415.859985	-35.000526
416.532898	-35.355373
417.205811	-34.942101
417.878723	-35.141743
418.551636	-35.208542
419.224548	-35.462582
419.897461	-35.236897
420.570374	-35.615593
421.243286	-35.086460
421.916199	-35.073837
422.589111	-35.501431
423.262024	-35.782791
423.934937	-35.333530
424.607849	-35.648983
425.280762	-35.448570
425.953674	-35.564930
426.626587	-35.671185
427.299500	-35.586319
427.972412	-35.192184
428.645325	-35.969616
429.318237	-35.625134
429.991150	-35.643032
430.664062	-35.917633
431.336975	-35.826191
432.009888	-35.039539
432.682800	-36.149399
433.355713	-35.936848
434.028625	-36.058582
434.701538	-35.814888
435.374451	-35.845829
436.047363	-35.499916
436.720276	-36.313019
437.393188	-35.740845
438.066101	-35.587173
438.739014	-35.819218
439.411926	-36.486042
440.084839	-35.856991
440.757751	-36.323692
441.430664	-36.058033
442.103577	-36.096577
442.776489	-35.752533
443.449402	-36.398373
444.122314	-35.598770
444.795227	-36.110767
445.468140	-35.984173
446.141052	-36.040318
446.813965	-36.116798
447.486877	-36.645370
448.159790	-35.793518
448.832703	-36.002945
449.505615	-36.078716
450.178528	-35.997124
450.851440	-35.975185
451.524353	-36.705929
452.197266	-35.539307
452.870178	-36.381786
453.543091	-36.291763
454.216003	-36.325016
454.888916	-35.809914
455.561829	-36.419842
456.234741	-35.659096
456.907654	-36.260864
457.580566	-36.160572
458.253479	-36.362240
458.926392	-35.982994
459.599304	-36.495003
460.272217	-35.637707
460.945129	-36.136253
461.618042	-36.068825
462.290955	-36.479290
462.963867	-35.665604
463.636780	-36.511219
464.309692	-36.058487
464.982605	-36.168976
465.655518	-35.851665
466.328430	-36.097576
467.001343	-35.832745
467.674255	-36.283722
468.347168	-35.929070
469.020081	-35.948616
469.692993	-35.900970
470.365906	-36.341663
471.038818	-35.614834
471.711731	-36.561058
472.384644	-35.838207
473.057556	-35.615112
473.730469	-35.778236
474.403381	-36.293800
475.076294	-35.642735
475.749207	-36.023323
476.422119	-35.582893
477.095032	-35.828835
477.767944	-35.975014
478.440857	-36.238724
479.113770	-35.220070
479.786682	-35.955048
480.459595	-35.527176
481.132507	-35.855015
481.805420	-35.780430
482.478333	-36.207100
483.151245	-35.562313
483.824158	-36.015594
484.497070	-35.647644
485.169983	-35.655384
485.842896	-35.482273
486.515808	-35.844040
487.188721	-35.302570
487.861633	-35.721313
488.534546	-35.719273
489.207458	-35.704281
489.880371	-35.250515
490.553284	-35.788532
